kf_idx,img_idx,tx,ty,tz,qx,qy,qz,qw,loop_ids
171,557,0.385557264,-5.569937706,3.842539549,-0.041203341,0.409679494,0.615416332,0.672106937,
172,561,0.200869665,-5.139771461,3.353975534,-0.047584479,0.394310499,0.612226827,0.683690909,
173,564,0.452037930,-4.676492691,2.718646049,-0.046698045,0.411334977,0.616355113,0.669872528,
174,568,0.321582824,-4.189364910,1.874966145,-0.049425505,0.406417372,0.612823394,0.675891653,
175,572,-0.086493462,-3.380723476,1.530151486,-0.072955636,0.429929173,0.539063322,0.720589423,
176,576,-2.587968826,-2.198249340,-0.117448725,-0.155618835,0.138133356,0.230364126,0.950596825,
177,579,-2.060665369,-0.696435928,-2.714097977,-0.183155822,-0.204475585,-0.069844137,0.959044043,
178,581,-1.798434138,-0.588131905,-3.304873466,-0.232060625,-0.262236427,-0.119033784,0.929091428,
179,585,-2.405194283,-0.458969921,-3.844760895,-0.230664671,-0.186517195,-0.032011152,0.954452949,
180,589,-2.520523548,-0.214508489,-4.788002968,-0.282138681,-0.179788637,-0.065535884,0.940095133,
181,591,-2.810775280,0.347378194,-5.133170128,-0.227323208,-0.161017491,-0.035183044,0.959770639,
182,594,-2.752462387,-0.261998862,-5.843384743,-0.293846688,-0.165604184,-0.013970830,0.941293894,
183,598,-2.495274544,1.574420452,-6.431365967,-0.157994972,-0.177873627,-0.030377797,0.970811903,
184,602,-2.453779936,-0.415856540,-7.564435005,-0.343743939,-0.155802337,-0.032881807,0.925464490,
